lemma	homonym	doc
Kortteikko	PROPN	overlaps more common *Kortteikko* (FIXME)
Korva	PROPN	overlaps more common *Korva* (ear)
Korvaton	PROPN	overlaps more common *Korvaton* (earless)
Korvike	PROPN	overlaps more common *Korvike* (replacement)
Kos	PROPN	overlaps more common *Kos* (kos)
Koski	PROPN	overlaps more common *Koski* (rapids)
Koskinen	PROPN	overlaps more common *Koskinen* (FIXME)
Kosminen	PROPN	overlaps more common *Kosminen* (cosmic)
Koste	PROPN	overlaps more common *Koste* (FIXME)
Kosteikko	PROPN	overlaps more common *Kosteikko* (FIXME)
Kosto	PROPN	overlaps more common *Kosto* (revenge)
Kota	PROPN	overlaps more common *Kota* (tent)
Koti	PROPN	overlaps more common *Koti* (home)
Kotikontu	PROPN	overlaps more common *Kotikontu* (homelands)
Kotikulma	PROPN	overlaps more common *Kotikulma* (home)
Kotikylä	PROPN	overlaps more common *Kotikylä* (hometown)
Kotiliesi	PROPN	overlaps more common *Kotiliesi* (homestove)
Kotimaa	PROPN	overlaps more common *Kotimaa* (homeland)
Kotimökki	PROPN	overlaps more common *Kotimökki* (homehut)
Kotinurkka	PROPN	overlaps more common *Kotinurkka* (homecorner)
Kotipaikka	PROPN	overlaps more common *Kotipaikka* (homeplace)
Kotipiha	PROPN	overlaps more common *Kotipiha* (homeyard)
Kotitalo	PROPN	overlaps more common *Kotitalo* (homehouse)
Kotkannenä	PROPN	overlaps more common *Kotkannenä* (eaglenose)
Kotkanpesä	PROPN	overlaps more common *Kotkanpesä* (eagle’s nest)
Koto	PROPN	overlaps forms of very common *kotona* “at home”, etc.
kotoisin	PROPN	usually seen as adverb (from), but can be analysed as a form of *kotoisa* (homely)
Kotomaa	PROPN	overlaps more common *Kotomaa* (homeland)
Kottero	PROPN	overlaps more common *Kottero* (car)
Koukero	PROPN	overlaps more common *Koukero* (squiggle)
Koukeroinen	PROPN	overlaps more common *Koukeroinen* (squiggly)
Koukku	PROPN	overlaps more common *Koukku* (hook)
Koulu	PROPN	overlaps more common *Koulu* (school)
Koulumies	PROPN	overlaps more common *Koulumies* (schoolman)
Koura	PROPN	overlaps more common *Koura* (hand)
Kouru	PROPN	overlaps more common *Kouru* (gutter)
Kouvolainen	PROPN	overlaps more common *Kouvolainen* (FIXME)
Kovera	PROPN	overlaps more common *Kovera* (convex)
Kovin	PROPN	overlaps more common *Kovin* (hardest)
Kramppi	PROPN	overlaps more common *Kramppi* (cramp)
Kranaatti	PROPN	overlaps more common *Kranaatti* (grenate)
Kranssi	PROPN	overlaps more common *Kranssi* (twigs)
Krappi	PROPN	overlaps more common *Krappi* (FIXME)
Krapu	PROPN	overlaps more common *Krapu* (crab)
Kreivi	PROPN	overlaps more common *Kreivi* (count)
Kriisi	PROPN	overlaps more common *Kriisi* (crisis)
Kritiikki	PROPN	overlaps more common *Kritiikki* (critique)
Krouvi	PROPN	overlaps more common *Krouvi* (tavern)
Kruuna	PROPN	overlaps more common *Kruuna* (crown)
Kruununmaa	PROPN	overlaps more common *Kruununmaa* (crownland)
Kuha	PROPN	overlaps more common *Kuha* (fish)
Kuhankeittäjä	PROPN	overlaps more common *Kuhankeittäjä* (baseball stuff)
Kuhmolainen	PROPN	overlaps more common *Kuhmolainen* (FIXME)
Kuikka	PROPN	overlaps more common *Kuikka* (bird)
Kuiru	PROPN	overlaps more common *Kuiru* (FIXME)
Kuisti	PROPN	overlaps more common *Kuisti* (porch)
Kuitu	PROPN	overlaps more common *Kuitu* (fiber)
Kuiva	PROPN	overlaps more common *Kuiva* (dry)
Kuivattu	PROPN	overlaps more common *Kuivattu* (dried)
Kuja	PROPN	overlaps more common *Kuja* (alley)
Kukinto	PROPN	overlaps more common *Kukinto* (bloom)
Kukka	PROPN	overlaps more common *Kukka* (flower)
Kukkamaa	PROPN	overlaps more common *Kukkamaa* (flowerlands)
Kukkanen	PROPN	overlaps more common *Kukkanen* (flowerling)
Kukkaro	PROPN	overlaps more common *Kukkaro* (purse)
Kukkatarha	PROPN	overlaps more common *Kukkatarha* (flowergarden)
Kukkia	PROPN	overlaps more common *Kukkia* (bloom)
Kukko	PROPN	overlaps more common *Kukko* (cock)
Kukkonen	PROPN	overlaps more common *Kukkonen* (FIXME)
Kukkopilli	PROPN	overlaps more common *Kukkopilli* (whistle)
Kukkula	PROPN	overlaps more common *Kukkula* (hill)
Kukkulainen	PROPN	overlaps more common *Kukkulainen* (FIXME)
Kukkura	PROPN	overlaps more common *Kukkura* (FIXME)
Kukonharja	PROPN	overlaps more common *Kukonharja* (roosterthing)
Kulho	PROPN	overlaps more common *Kulho* (bowl)
Kulju	PROPN	overlaps more common *Kulju* (FIXME)
Kulkija	PROPN	overlaps more common *Kulkija* (trabllelr)
Kulku	PROPN	overlaps more common *Kulku* (journey)
Kullero	PROPN	overlaps more common *Kullero* (FIXME)
Kulma	PROPN	overlaps more common *Kulma* (corner)
Kulmio	PROPN	overlaps more common *Kulmio* (polygon)
Kulo	PROPN	overlaps more common *Kulo* (fire)
Kulovalkea	PROPN	overlaps more common *Kulovalkea* (fire)
Kulta	PROPN	overlaps more common *Kulta* (gold)
Kultala	PROPN	overlaps more common *Kultala* (FIXME)
Kultamaa	PROPN	overlaps more common *Kultamaa* (goldlands)
Kultanen	PROPN	overlaps more common *Kultanen* (golden)
Kultarinta	PROPN	overlaps more common *Kultarinta* (goldbreasts)
Kultti	PROPN	overlaps more common *Kultti* (cult)
Kumara	PROPN	overlaps more common *Kumara* (humpback)
Kumina	PROPN	overlaps more common *Kumina* (cumin)
Kumma	PROPN	overlaps more common *Kumma* (weird)
kumminkaan	PROPN	usually seen as adverb (however, negative), but can be analysed as a form of *kumpi* (which)
kumminkin	PROPN	usually seen as adverb (however, affirmative), but can be analysed as a form of *kumpi* (which)
Kummoinen	PROPN	overlaps more common *Kummoinen* (FIXME)
Kumo	PROPN	overlaps more common *Kumo* (FIXME)
Kumpare	PROPN	overlaps more common *Kumpare* (hill)
Kumpu	PROPN	overlaps more common *Kumpu* (hill)
Kumpusuo	PROPN	overlaps more common *Kumpusuo* (hillswamp)
Kuningas	PROPN	overlaps more common *Kuningas* (king)
Kunnia	PROPN	overlaps more common *Kunnia* (honor)
Kunnoton	PROPN	overlaps more common *Kunnoton* (nogood)
Kunto	PROPN	overlaps more common *Kunto* (health)
Kuoha	PROPN	overlaps more common *Kuoha* (FIXME)
Kuohari	PROPN	overlaps more common *Kuohari* (FIXME)
Kuohu	PROPN	overlaps more common *Kuohu* (foam)
Kuohuva	PROPN	overlaps more common *Kuohuva* (foamy)
Kuokka	PROPN	overlaps more common *Kuokka* (plow)
Kuolema	PROPN	overlaps more common *Kuolema* (death)
Kuolinpaikka	PROPN	overlaps more common *Kuolinpaikka* (place of death)
Kuolio	PROPN	overlaps more common *Kuolio* (necrosy)
Kuoma	PROPN	overlaps more common *Kuoma* (pal)
Kuona	PROPN	overlaps more common *Kuona* (crap)
Kuontalo	PROPN	overlaps more common *Kuontalo* (hairs)
Kuoppa	PROPN	overlaps more common *Kuoppa* (hole)
Kuopus	PROPN	overlaps more common *Kuopus* (youngest child)
Kupari	PROPN	overlaps more common *Kupari* (copper)
Kuparinen	PROPN	overlaps more common *Kuparinen* (coppery)
Kuperkeikka	PROPN	overlaps more common *Kuperkeikka* (wheelbarrow)
Kuppa	PROPN	overlaps more common *Kuppa* (chlamydia)
Kuppari	PROPN	overlaps more common *Kuppari* (FIXME)
Kuppi	PROPN	overlaps very common *kuppi* “cup”.
Kuppila	PROPN	overlaps more common *Kuppila* (café)
Kura	PROPN	overlaps more common *Kura* (dirt)
Kuri	PROPN	overlaps more common *Kuri* (discipline)
Kuristin	PROPN	overlaps more common *Kuristin* (FIXME)
Kurjenmiekka	PROPN	overlaps more common *Kurjenmiekka* (flower)
Kurjennokka	PROPN	overlaps more common *Kurjennokka* (FIXME)
Kurjenpolvi	PROPN	overlaps more common *Kurjenpolvi* (FIXME)
Kurki	PROPN	overlaps more common *Kurki* (crane)
Kurkku	PROPN	overlaps more common *Kurkku* (throat, cucumber)
Kurko	PROPN	overlaps more common *Kurko* (king)
Kurssi	PROPN	overlaps more common *Kurssi* (course)
Kurttu	PROPN	overlaps more common *Kurttu* (FIXME)
Kurvi	PROPN	overlaps more common *Kurvi* (curve)
Kurvinen	PROPN	overlaps more common *Kurvinen* (FIXME)
Kusettaja	PROPN	overlaps more common *Kusettaja* (scammer)
Kusiainen	PROPN	overlaps more common *Kusiainen* (fireant)
Kusiaispesä	PROPN	overlaps more common *Kusiaispesä* (fireants’ nest)
Kusipää	PROPN	overlaps more common *Kusipää* (asshole)
Kutina	PROPN	overlaps more common *Kutina* (itch)
Kutka	PROPN	overlaps more common *Kutka* (itch)
Kutsu	PROPN	overlaps forms of very common *kutsu* “invitation”, *kutsua* "to invite" etc.
Kutsu	PROPN	overlaps more common *Kutsu* (invite)
Kuu	PROPN	overlaps more common *Kuu* (moon)
Kuukkeli	PROPN	overlaps more common *Kuukkeli* (bird)
Kuuliainen	PROPN	overlaps more common *Kuuliainen* (honest)
Kuultava	PROPN	overlaps more common *Kuultava* (translucent)
Kuuma	PROPN	overlaps more common *Kuuma* (hot)
Kuunvalo	PROPN	overlaps more common *Kuunvalo* (moonlight)
Kuuppa	PROPN	overlaps more common *Kuuppa* (head)
Kuura	PROPN	overlaps more common *Kuura* (frost)
Kuuri	PROPN	overlaps more common *Kuuri* (medication)
Kuurna	PROPN	overlaps more common *Kuurna* (FIXME)
Kuuru	PROPN	overlaps more common *Kuuru* (FIXME)
Kuusama	PROPN	overlaps more common *Kuusama* (FIXME)
Kuusenhako	PROPN	overlaps more common *Kuusenhako* (FIXME)
Kuusi	PROPN	overlaps more common *Kuusi* (six, fir)
Kuusikanta	PROPN	overlaps more common *Kuusikanta* (hexagon)
Kuusikko	PROPN	overlaps more common *Kuusikko* (group of six)
Kuusimetsä	PROPN	overlaps more common *Kuusimetsä* (pine forest)
Kuusinen	PROPN	overlaps more common *Kuusinen* (six)
Kuusio	PROPN	overlaps more common *Kuusio* (six room apt.)
Kuusisto	PROPN	overlaps more common *Kuusisto* (pines)
Kuutamo	PROPN	overlaps more common *Kuutamo* (moon)
Kuutonen	PROPN	overlaps more common *Kuutonen* (six)
Kuutti	PROPN	overlaps more common *Kuutti* (baby seal)
Kuva	PROPN	overlaps more common *Kuva* (picture)
Kuvaaja	PROPN	overlaps more common *Kuvaaja* (graph)
Kuvasto	PROPN	overlaps more common *Kuvasto* (catalogue)
Kuvatus	PROPN	overlaps more common *Kuvatus* (ugly thing)
Kylkiäinen	PROPN	overlaps more common *Kylkiäinen* (freebie)
Kylmä	PROPN	overlaps more common *Kylmä* (cold)
Kylmäsilta	PROPN	overlaps more common *Kylmäsilta* (cold bridge)
Kylväjä	PROPN	overlaps more common *Kylväjä* (planter)
Kylvö	PROPN	overlaps more common *Kylvö* (planting)
Kylvömetsä	PROPN	overlaps more common *Kylvömetsä* (planting forest)
Kylä	PROPN	overlaps more common *Kylä* (town)
Kyläkunta	PROPN	overlaps more common *Kyläkunta* (township)
Kynnys	PROPN	overlaps more common *Kynnys* (step)
Kynnäs	PROPN	overlaps more common *Kynnäs* (FIXME)
Kynsi	PROPN	overlaps more common *Kynsi* (nail)
Kyntäjä	PROPN	overlaps more common *Kyntäjä* (plower)
Kyntö	PROPN	overlaps more common *Kyntö* (plowing)
Kypäri	PROPN	overlaps more common *Kypäri* (FIXME)
Kypärä	PROPN	overlaps more common *Kypärä* (helmet)
Kyttä	PROPN	overlaps more common *Kyttä* (cop)
Kyyhkynen	PROPN	overlaps more common *Kyyhkynen* (swallow)
Kyykkä	PROPN	overlaps more common *Kyykkä* (petanque)
Kyynärä	PROPN	overlaps more common *Kyynärä* (foot)
Kähmä	PROPN	overlaps more common *Kähmä* (FIXME)
Kähärä	PROPN	overlaps more common *Kähärä* (FIXME)
Kähäräinen	PROPN	overlaps more common *Kähäräinen* (FIXME)
Käki	PROPN	overlaps more common *Käki* (woodpecker)
Käkkyrä	PROPN	overlaps more common *Käkkyrä* (FIXME)
Käkkärä	PROPN	overlaps more common *Käkkärä* (FIXME)
Käkkärämänty	PROPN	overlaps more common *Käkkärämänty* (FIXME)
Käkönen	PROPN	overlaps more common *Käkönen* (FIXME)
Kämppä	PROPN	overlaps more common *Kämppä* (house)
Känni	PROPN	overlaps more common *Känni* (inebriation)
Känninen	PROPN	overlaps more common *Känninen* (drunk)
Känny	PROPN	overlaps more common *Känny* (mobile)
Känsä	PROPN	overlaps more common *Känsä* (wart)
Känä	PROPN	overlaps more common *Känä* (drunk)
Käppyrä	PROPN	overlaps more common *Käppyrä* (FIXME)
Käpy	PROPN	overlaps more common *Käpy* (pinecone)
Käpylintu	PROPN	overlaps more common *Käpylintu* (pineconebird)
Käpälä	PROPN	overlaps more common *Käpälä* (paw)
Käpälämäki	PROPN	overlaps more common *Käpälämäki* (elope)
Kärki	PROPN	overlaps more common *Kärki* (head)
Kärkäs	PROPN	overlaps more common *Kärkäs* (eager)
Kärppä	PROPN	overlaps more common *Kärppä* (badger)
Kärpänen	PROPN	overlaps more common *Kärpänen* (fly)
Kärri	PROPN	overlaps more common *Kärri* (cart)
Kärry	PROPN	overlaps more common *Kärry* (cart)
Kärsä	PROPN	overlaps more common *Kärsä* (snout)
Kärsämö	PROPN	overlaps more common *Kärsämö* (flower)
Käräjäkivi	PROPN	overlaps more common *Käräjäkivi* (FIXME)
Käsi	PROPN	overlaps more common *Käsi* (hand)
Käsivarsi	PROPN	overlaps more common *Käsivarsi* (arm)
Kätevä	PROPN	overlaps more common *Kätevä* (handy)
Kätkö	PROPN	overlaps more common *Kätkö* (hideout)
Käymälä	PROPN	overlaps more common *Käymälä* (toilet)
Käyrä	PROPN	overlaps more common *Käyrä* (bent)
Käytävä	PROPN	overlaps more common *Käytävä* (hallway)
Kääkkä	PROPN	overlaps more common *Kääkkä* (FIXME)
Käänne	PROPN	overlaps more common *Käänne* (turn)
Käännekohta	PROPN	overlaps more common *Käännekohta* (turning point)
Kääntöpiiri	PROPN	overlaps more common *Kääntöpiiri* (tropic)
Kääpä	PROPN	overlaps more common *Kääpä* (FIXME)
Kääriä	PROPN	overlaps more common *Kääriä* (roll)
Kääriäinen	PROPN	overlaps more common *Kääriäinen* (FIXME)
Käärmekuusi	PROPN	overlaps more common *Käärmekuusi* (snake fir)
Kökkö	PROPN	overlaps more common *Kökkö* (clunky)
Köngäs	PROPN	overlaps more common *Köngäs* (FIXME)
Köntti	PROPN	overlaps more common *Köntti* (clump)
Körtti	PROPN	overlaps more common *Körtti* (heathen)
Köyhä	PROPN	overlaps more common *Köyhä* (poor)
Köyhälä	PROPN	overlaps more common *Köyhälä* (FIXME)
Köykky	PROPN	overlaps more common *Köykky* (FIXME)
Köyry	PROPN	overlaps more common *Köyry* (FIXME)
Köyryselkä	PROPN	overlaps more common *Köyryselkä* (FIXME)
Laaja	PROPN	overlaps more common *Laaja* (wide)
Laaka	PROPN	overlaps more common *Laaka* (FIXME)
Laakeri	PROPN	overlaps more common *Laakeri* (FIXME)
Laakerikivi	PROPN	overlaps more common *Laakerikivi* (FIXME)
Laakso	PROPN	overlaps more common *Laakso* (valley)
Laama	PROPN	overlaps more common *Laama* (llama)
Laamanni	PROPN	overlaps more common *Laamanni* (layman)
Laari	PROPN	overlaps more common *Laari* (lair)
Laatta	PROPN	overlaps more common *Laatta* (slab)
Laattakivi	PROPN	overlaps more common *Laattakivi* (slabstone)
Laatu	PROPN	overlaps more common *Laatu* (quality)
Laava	PROPN	overlaps more common *Laava* (lava)
Laavajärvi	PROPN	overlaps more common *Laavajärvi* (lava lake)
Laavu	PROPN	overlaps more common *Laavu* (FIXME)
Lady	PROPN	overlaps more common *Lady* (lady)
Lahdeke	PROPN	overlaps more common *Lahdeke* (FIXME)
Lahdelma	PROPN	overlaps more common *Lahdelma* (FIXME)
Lahdenpohja	PROPN	overlaps more common *Lahdenpohja* (FIXME)
Lahja	PROPN	overlaps more common *Lahja* (gift)
Lahje	PROPN	overlaps more common *Lahje* (pant)
Lahna	PROPN	overlaps more common *Lahna* (fish)
Laho	PROPN	overlaps more common *Laho* (rotten)
Lahto	PROPN	overlaps more common *Lahto* (FIXME)
Laide	PROPN	overlaps more common *Laide* (FIXME)
Laidunmaa	PROPN	overlaps more common *Laidunmaa* (FIXME)
Laiha	PROPN	overlaps more common *Laiha* (thin)
Laikka	PROPN	overlaps more common *Laikka* (FIXME)
Laina	PROPN	overlaps more common *Laina* (loan)
Laine	PROPN	overlaps more common *Laine* (wave)
Laiska	PROPN	overlaps more common *Laiska* (lazy)
Laita	PROPN	overlaps more common *Laita* (side)
Laitama	PROPN	overlaps more common *Laitama* (side)
Laitimmainen	PROPN	overlaps more common *Laitimmainen* (sidemost)
Laituri	PROPN	overlaps more common *Laituri* (jetty)
Laivaranta	PROPN	overlaps more common *Laivaranta* (ship coast)
Lakea	PROPN	overlaps more common *Lakea* (flat)
Lakeinen	PROPN	overlaps more common *Lakeinen* (FIXME)
Lakeus	PROPN	overlaps more common *Lakeus* (flatness)
Laki	PROPN	overlaps more common *Laki* (law)
Lakka	PROPN	overlaps more common *Lakka* (cloudberry)
Lakkapää	PROPN	overlaps more common *Lakkapää* (FIXME)
Lakkari	PROPN	overlaps more common *Lakkari* (FIXME)
Lakki	PROPN	overlaps more common *Lakki* (hat)
Lakko	PROPN	overlaps more common *Lakko* (strike)
Lammaslaidun	PROPN	overlaps more common *Lammaslaidun* (FIXME)
Lammastarha	PROPN	overlaps more common *Lammastarha* (FIXME)
Lammikko	PROPN	overlaps more common *Lammikko* (pond)
Lampaansaparo	PROPN	overlaps more common *Lampaansaparo* (sheeptail)
Lampi	PROPN	overlaps more common *Lampi* (pond)
Lamppu	PROPN	overlaps more common *Lamppu* (lamp)
Lampuri	PROPN	overlaps more common *Lampuri* (FIXME)
Lana	PROPN	overlaps more common *Lana* (FIXME)
Lanka	PROPN	overlaps more common *Lanka* (yarn)
Lankku	PROPN	overlaps more common *Lankku* (plank)
Lanko	PROPN	overlaps more common *Lanko* (brother-in-law)
Lanne	PROPN	overlaps more common *Lanne* (waist)
Lanssi	PROPN	overlaps more common *Lanssi* (lance)
Lantatunkio	PROPN	overlaps more common *Lantatunkio* (shit compost)
Lantinki	PROPN	overlaps more common *Lantinki* (FIXME)
Lapinkylä	PROPN	overlaps more common *Lapinkylä* (FIXME)
Lapio	PROPN	overlaps more common *Lapio* (shovel)
Lappalainen	PROPN	overlaps more common *Lappalainen* (lapp)
Lappi	PROPN	overlaps more common *Lappi* (lapland)
Lappo	PROPN	overlaps more common *Lappo* (FIXME)
Lappunen	PROPN	overlaps more common *Lappunen* (post-it note)
Larva	PROPN	overlaps more common *Larva* (FIXME)
Lasi	PROPN	overlaps more common *Lasi* (glass)
Laskiaismäki	PROPN	overlaps more common *Laskiaismäki* (FIXME)
Lasku	PROPN	overlaps more common *Lasku* (bill)
Lastu	PROPN	overlaps more common *Lastu* (chip)
Lastunen	PROPN	overlaps more common *Lastunen* (FIXME)
Lati	PROPN	overlaps more common *Lati* (FIXME)
Latomeri	PROPN	overlaps more common *Latomeri* (FIXME)
Latu	PROPN	overlaps more common *Latu* (ski track)
Laturi	PROPN	overlaps more common *Laturi* (charger)
Latva	PROPN	overlaps more common *Latva* (treetop)
Lauantainen	PROPN	overlaps more common *Lauantainen* (FIXME)
Lauha	PROPN	overlaps more common *Lauha* (mild)
Lauhkea	PROPN	overlaps more common *Lauhkea* (mild)
Laukka	PROPN	overlaps more common *Laukka* (trot)
Laukku	PROPN	overlaps more common *Laukku* (bag)
Laulaja	PROPN	overlaps more common *Laulaja* (singer)
Laulu	PROPN	overlaps more common *Laulu* (song)
Lauma	PROPN	overlaps more common *Lauma* (herd)
Lautakatto	PROPN	overlaps more common *Lautakatto* (wood ceiling)
Lautanen	PROPN	overlaps more common *Lautanen* (plate)
Lauttasilta	PROPN	overlaps more common *Lauttasilta* (ferrybbridge)
Lava	PROPN	overlaps very common *lava* (stage)
Lavaste	PROPN	overlaps more common *Lavaste* (requisite)
Laveri	PROPN	overlaps more common *Laveri* (FIXME)
Lavetti	PROPN	overlaps more common *Lavetti* (FIXME)
Lehdistö	PROPN	overlaps more common *Lehdistö* (press)
Lehmihaka	PROPN	overlaps more common *Lehmihaka* (FIXME)
Lehmus	PROPN	overlaps more common *Lehmus* (tree)
Lehmä	PROPN	overlaps more common *Lehmä* (cow)
Lehmänen	PROPN	overlaps more common *Lehmänen* (FIXME)
Lehteri	PROPN	overlaps more common *Lehteri* (FIXME)
Lehti	PROPN	overlaps more common *Lehti* (leaf)
Lehtikanta	PROPN	overlaps more common *Lehtikanta* (FIXME)
Lehtikuva	PROPN	overlaps more common *Lehtikuva* (press picture)
Lehtimaja	PROPN	overlaps more common *Lehtimaja* (treehouse)
Lehtinen	PROPN	overlaps more common *Lehtinen* (FIXME)
Lehtipuu	PROPN	overlaps more common *Lehtipuu* (leafy tree)
Lehtiö	PROPN	overlaps more common *Lehtiö* (leaflet)
lehtiö-pc	PROPN	notebook–Personal Computer
Lehto	PROPN	overlaps more common *Lehto* (FIXME)
Lehtomaa	PROPN	overlaps more common *Lehtomaa* (FIXME)
Lehtoniitty	PROPN	overlaps more common *Lehtoniitty* (FIXME)
